Table 2
Groups of Surveyed Galaxies and ACIS Observations

Group	Galaxies	Number	Exposure	ObsID	Observation	OBSMJD	Exposure	Chips	bkgd^a	Number	
No.		of Obs.	Total (s)		Date		(s)	Used		of Sources	
33	NGC3351	3	119973	5929	2005 Feb 8	53409.195	39958	6 7	1	41	
				5930	2005 May 8	53498.561	39955	6 7	2	45	
				5931	2005 Jul 1	53552.216	40060	6 7	1	47	
	
34	IC10	3	117158	3953	2003 Mar 12	52710.507	29896	6 7	0.7	33	
				7082	2006 Nov 2	54041.510	43135	6 7	2	46	
				8458	2006 Nov 4	54043.982	44127	6 7	2	51	
	
35	NGC4594	3	106736	407	1999 Dec 20	51532.600	1947	7	0.3	10	
				1586	2001 May 31	52060.165	18752	6 7	0.6	136	
				9532	2008 Apr 29	54585.830	86037	0 1 2 3	4	313	
	
36	NGC4490	3	98871	1579	2000 Nov 3	51851.059	19772	6 7	0.6	50	
	NGC4485			4725	2004 Jul 29	53215.864	38959	6 7	1	64	
				4726	2004 Nov 20	53329.272	40140	6 7	1	59	
	
37	NGC4214	3	83278	2030	2001 Oct 16	52198.800	26761	6 7	0.8	39	
				4743	2004 Apr 3	53098.193	27558	6 7	1	38	
				5197	2004 Jul 30	53216.333	28959	6 7	0.9	28	
	
38	IC342	3	78938	2916	2002 Apr 29	52393.613	9883	6 7	0.1	3	
				2917	2002 Aug 26	52512.436	10512	6 7	0.1	2	
				7069	2006 Nov 12	54051.601	58543	6 7	2	56	
	
39	NGC45	3	65927	6184	2005 Jan 12	53382.603	24956	6 7	0.8	19	
				6185	2005 Jan 13	53383.903	6092	6 7	0.2	8	
				4690	2005 Jan 16	53386.209	34879	6 7	1	21	
	
40	NGC1068	3	61212	343	1999 Dec 9	51521.861	517	7	0.3	1	
				344	2000 Feb 21	51595.659	48054	6 7	2	77	
				370	2000 Feb 22	51596.244	12641	7	6	17	
	
41	NGC4472	3	55747	322	2000 Mar 19	51622.511	10496	0 1 2 3	0.4	67	
	NGC4467			321	2000 Jun 12	51707.076	40096	6 7	3	167	
				8107	2007 Apr 28	54218.760	5155	6 7	0.4	13	
	
42	NGC4258	3	43079	350	2000 Apr 17	51651.453	14224	6 7	0.4	65	
				1618	2001 May 28	52057.890	21209	6 7	0.6	74	
				2340	2001 May 29	52058.151	7646	7	0.8	8	
	
43	NGC4151	3	36159	347	1999 Dec 4	51516.470	1247	7	0.2	3	
				372	2000 Mar 6	51609.561	6864	7	0.8	10	
				348	2000 Mar 7	51610.453	28048	6 7	0.9	57	
	
