Table 6
Ultraluminous X-ray Sources in Nearby Galaxies

Group	CXOJ^a	Pos.^b	Source^c	alpha^d	r_25^e	Dis.^f	V/D^g	L_Xmax^h	F_Xavg^i	F/F^j	sigma_max^k	C_max^l	SQH^m	Var/K-S^n	Notes^o	
No.		Err.	Name	(")		(Mpc)		(erg s^-1)	(cgs)							
10	CXOJ120154.547-185303.41	1	NGC4038-X13	1.221	0.79	25.5	7/7	3.17e+39	1.94e-14	4.8^+1.3_-0.96	26.179	179.664	q1 h6		1ULX	
10	CXOJ120154.547-185303.41	1	NGC4039-X11	0.160	0.18	25.3	7/7	3.12e+39	1.94e-14	4.8^+1.3_-0.96	26.179	179.664	q1 h6		1ULX	
10	CXOJ120154.787-185251.64	1	NGC4038-X11	1.059	0.67	25.5	7/7	3.54e+39	2.25e-14	4.4^+1_-0.78	35.199	226.477	h7		1ULX	
10	CXOJ120154.787-185251.64	1	NGC4039-X9	0.319	0.40	25.3	7/7	3.49e+39	2.25e-14	4.4^+1_-0.78	35.199	226.477	h7		1ULX	
10	CXOJ120154.979-185314.53	1	NGC4038-X5	1.429	0.92	25.5	7/7	1.03e+40	9.60e-14	2.6^+0.26_-0.24	138.418	1052.957	h7	v:1	1EULX	
10	CXOJ120154.979-185314.53	1	NGC4039-X5	0.292	0.20	25.3	7/7	1.01e+40	9.60e-14	2.6^+0.26_-0.24	138.418	1052.957	h7	v:1	1EULX	
10	CXOJ120155.236-184917.40	1	NGC4038-X8	2.668	1.65	25.5	7/7	4.95e+39	3.34e-14	3.6^+0.48_-0.41	91.237	473.221	h7		2ULX	
10	CXOJ120155.658-185214.59	1	NGC4038-X4	0.737	0.37	25.5	7/7	1.16e+40	9.28e-14	2.9^+0.24_-0.22	128.579	1428.535	h7	v:2	1EULX	
10	CXOJ120155.658-185214.59	1	NGC4039-X4	0.952	1.18	25.3	7/7	1.14e+40	9.28e-14	2.9^+0.24_-0.22	128.579	1428.535	h7	v:2	2EULX	
10	CXOJ120156.434-185157.38	1.01	NGC4038-X3	0.838	0.34	25.5	7/7	1.24e+40	1.27e-13	1.7^+0.12_-0.11	202.453	1365.240	h7		1EULX	
10	CXOJ120156.434-185157.38	1.01	NGC4039-X3	1.291	1.61	25.3	7/7	1.22e+40	1.27e-13	1.7^+0.12_-0.11	202.453	1365.240	h7		2EULX	
10	CXOJ120158.222-185204.26	1	NGC4038-X15	1.270	0.53	25.5	7/6	2.99e+39	1.60e-14	75.2^+4_-4	85.897	367.037	q2 h4		1ULX	
10	CXOJ120158.222-185204.26	1	NGC4039-X13	1.450	1.83	25.3	7/6	2.94e+39	1.60e-14	75.2^+4_-4	85.897	367.037	q2 h4		2ULX	
10	CXOJ120207.733-185250.88	1	NGC4038-X17	3.635	1.61	25.5	7/7	2.15e+39	1.96e-14	2.6^+0.52_-0.42	44.864	192.867	h7		2ULX	
11	CXOJ124826.141-411756.47	1	NGC4696-X3	4.500	2.02	35.48	5/5	2.07e+40	1.04e-13	1.9^+0.56_-0.38	47.850	865.652	h5		2EULX	
11	CXOJ124832.479-411832.22	1	NGC4696-X5	3.255	1.46	35.48	6/6	6.87e+39	3.00e-14	3.7^+2_-1	21.529	336.162	h6		2ULX	
11	CXOJ124836.497-411820.88	1	NGC4696-X11	2.517	1.13	35.48	6/3	2.1e+39	1.19e-14	43.6^+5.7_-5.7	10.254	108.310	h3		2ULX	
11	CXOJ124839.262-412024.11	1	NGC4696-X9	2.643	1.44	35.48	6/6	3.55e+39	1.77e-14	1.8^+0.56_-0.44	12.596	99.611	h6		2ULX	
11	CXOJ124839.264-411738.44	1	NGC4696-X6	2.221	1.06	35.48	6/5	4.35e+39	2.48e-14	23^+5.3_-5.3	14.707	216.842	h5		2ULX	
11	CXOJ124841.441-412047.76	1	NGC4696-X8	2.659	1.53	35.48	6/6	3.94e+39	2.25e-14	1.8^+1_-0.57	20.482	198.883	q1 h5		2ULX	
11	CXOJ124842.804-411609.62	1	NGC4696-X7	2.815	1.61	35.48	6/6	4.32e+39	2.32e-14	1.6^+0.5_-0.37	17.311	184.485	h6		2ULX	
11	CXOJ124843.015-411541.36	1	NGC4696-X4	3.223	1.88	35.48	6/6	1.57e+40	8.00e-14	1.5^+0.23_-0.2	37.666	520.182	h6		2EULX	
11	CXOJ124853.460-411912.79	1	NGC4696-X10	0.889	0.45	35.48	7/4	2.9e+39	1.20e-14	23.7^+3.8_-3.8	8.051	78.181	q2 h2		1ULX	
11	CXOJ124906.247-411751.18	1	NGC4696-X2	3.190	1.50	35.48	6/6	2.66e+40	1.35e-13	1.6^+0.15_-0.14	76.350	551.947	h6		2EULX	
11	CXOJ124954.202-411650.77	2.25	NGC4706-X1	0.023	0.08	51.5	2/1	6.81e+39	2.14e-14	14.8^+3.3_-3.3	5.375	45.110	h1		1ULX	
12	CXOJ020819.694+105743.16	1	NGC821-X1	2.044	1.67	24.10	7/7	1.12e+40	1.12e-13	1.9^+0.23_-0.2	118.424	424.839	h7		2EULX	
14	CXOJ033312.852-361153.70	1	NGC1365-X4	6.001	1.22	17.38	6/6	4.28e+39	9.51e-14	1.8^+0.4_-0.32	38.79	154.811	h6		2ULX	
14	CXOJ033334.152-361102.54	1	NGC1365-X5	2.803	0.57	17.38	1/1	3.02e+39	8.34e-14	1	52.170	144.610	h1		1ULX	
14	CXOJ033334.620-360936.43	1	NGC1365-X2	1.382	0.27	17.38	7/7	1.82e+40	3.36e-13	4.6^+0.52_-0.45	246.093	919.045	h7	v:1	1EULX	
14	CXOJ033335.969-360832.57	1	NGC1365-X7	0.289	0.05	17.38	7/5	2.55e+39	5.22e-14	2.1^+0.21_-0.21	17.317	130.232	q3 h2		1ULX	
14	CXOJ033338.016-360935.21	1	NGC1365-X6	1.334	0.35	17.38	2/1	2.83e+39	7.82e-14	130.6^+11_-11	51.824	138.925	h1		1ULX	
14	CXOJ033341.842-360731.37	1	NGC1365-X3	1.303	0.27	17.38	7/6	1.11e+40	1.46e-13	498.4^+21_-21	151.855	566.301	h6		1EULX	
14	CXOJ033344.275-360717.90	1	NGC1365-X8	1.836	0.39	17.38	7/6	2.08e+39	3.68e-14	100.3^+9.5_-9.5	40.641	112.614	h6		1ULX	
15	CXOJ031738.669-663303.53	1	NGC1313-X3	4.873	1.27	3.7	3/3	2.17e+39	1.31e-12	1^+0.05_-0.047	313.105	2815.651	h3		2ULX	
15	CXOJ031819.999-662910.97	1	NGC1313-X1	0.804	0.20	3.7	5/5	2.32e+40	7.24e-12	5.5^+0.13_-0.13	505.880	10763.779	h5	v:2	1EULX	
15	CXOJ031822.262-663603.56	1	NGC1313-X2	6.246	1.38	3.7	6/6	6.24e+39	2.74e-12	2.4^+0.13_-0.12	442.992	7147.682	h6		2ULX	
16	CXOJ104749.992+123456.82	1.05	NGC3379-X1	0.023	0.01	10.57	5/5	3.43e+39	1.88e-13	2.2^+0.11_-0.11	294.014	2552.731	h5	v:3	1ULX	
16	CXOJ104817.508+123756.32	1	NGC3384-X1	0.143	0.06	11.59	1/1	3.51e+39	2.18e-13	1	81.464	233.277	h1		1ULX	
17	CXOJ122414.599+071535.28	1	NGC4365-X2	4.818	1.39	20.42	6/6	3.87e+39	4.33e-14	2.6^+0.5_-0.41	46.446	213.652	h6		2ULX	
17	CXOJ122426.352+071653.54	1	NGC4365-X5	2.241	0.72	20.42	6/6	2.03e+39	3.57e-14	1.6^+0.33_-0.27	58.139	190.259	h6		1ULX	
17	CXOJ122437.843+072310.68	1	NGC4365-X3	4.765	1.39	20.42	6/6	3.66e+39	4.87e-14	4.6^+0.97_-0.75	44.513	310.929	h6		2ULX	
17	CXOJ122440.841+072203.97	1	NGC4365-X4	4.369	1.27	20.42	6/6	2.54e+39	3.81e-14	2.4^+0.95_-0.58	38.858	232.110	h6	v:1	2ULX	
18	CXOJ061713.476+782511.24	1.42	NGC2146-X6	5.830	1.98	17.2	4/4	2.49e+39	4.63e-14	6.7^+6.9_-2.8	15.119	39.683	d1 h3		2ULX	
18	CXOJ061721.706+782221.14	1.04	NGC2146-X5	4.086	1.78	17.2	6/6	2.75e+39	6.08e-14	2.4^+1_-0.67	24.790	57.960	h6		2ULX	
18	CXOJ061836.965+782127.32	1	NGC2146-X3	0.210	0.07	17.2	6/6	3.22e+39	6.38e-14	2.2^+0.78_-0.55	19.590	81.698	h6		1ULX	
18	CXOJ061839.653+782114.54	1	NGC2146-X1	0.078	0.04	17.2	6/6	4.33e+39	1.02e-13	1.9^+0.53_-0.4	25.067	110.998	h6		1ULX	
18	CXOJ061840.814+782125.24	1	NGC2146-X7	0.110	0.06	17.2	6/5	2.03e+39	4.44e-14	2.9^+0.45_-0.45	10.195	54.157	q4 h1		1ULX	
18	CXOJ061848.662+782506.13	1.02	NGC2146-X4	3.810	1.85	17.2	6/6	2.79e+39	5.70e-14	2.3^+0.95_-0.64	24.630	57.923	h6		2ULX	
18	CXOJ061913.999+782145.00	1	NGC2146-X2	1.764	0.97	17.2	6/6	3.26e+39	6.77e-14	1.6^+0.47_-0.36	31.171	80.085	h6		1ULX	
19	CXOJ073625.562+653539.95	1	NGC2403-X1	3.004	0.39	3.133	3/3	2.2e+39	1.64e-12	1.4^+0.036_-0.035	518.790	7319.747	h3		1ULX	
20	CXOJ203500.746+601130.66	1	NGC6946-X1	2.508	0.45	5.5	5/5	6.35e+39	1.57e-12	1.2^+0.038_-0.036	508.492	8327.313	h5		1ULX	
21	CXOJ015249.721-134216.13	1	NGC720-X2	3.326	1.50	27.67	5/5	5.35e+39	4.83e-14	1.4^+0.28_-0.22	68.230	263.555	h5		2ULX	
21	CXOJ015255.668-134129.54	1	NGC720-X4	3.080	1.48	27.67	5/5	4.16e+39	3.11e-14	1.7^+0.65_-0.47	26.834	119.758	h5		2ULX	
21	CXOJ015259.395-134357.32	1	NGC720-X8	0.464	0.20	27.67	5/5	2.13e+39	1.57e-14	2.2^+0.84_-0.55	19.933	110.228	q1 h4		1ULX	
21	CXOJ015300.326-134414.35	1	NGC720-X7	0.112	0.06	27.67	5/4	2.43e+39	2.11e-14	1.8^+0.59_-0.45	11.963	86.810	h4		1ULX	
21	CXOJ015301.118-134419.57	1	NGC720-X6	0.176	0.13	27.67	5/5	2.9e+39	2.48e-14	1.9^+0.57_-0.43	20.079	133.079	h5		1ULX	
21	CXOJ015301.754-134630.90	1	NGC720-X3	2.190	1.24	27.67	5/5	4.72e+39	4.14e-14	1.6^+0.49_-0.34	67.291	295.272	h5		2ULX	
21	CXOJ015303.029-134654.48	1	NGC720-X1	2.636	1.40	27.67	5/5	1.3e+40	1.00e-13	1.8^+0.34_-0.26	108.435	545.503	h5		2EULX	
22	CXOJ114606.154+472855.24	1.01	NGC3877-X1	0.794	0.38	17.0	5/5	8.77e+39	1.83e-13	2.5^+0.24_-0.22	193.795	725.224	h5		1ULX	
24	CXOJ133001.020+471343.93	1	NGC5194-X3	2.335	0.59	7.7	4/3	2.48e+39	2.07e-13	55.8^+1.3_-1.3	247.357	1893.464	h3	v:1	1ULX	
24	CXOJ133001.020+471343.93	1	NGC5195-X1	2.647	1.16	7.66	4/3	2.46e+39	2.07e-13	55.8^+1.3_-1.3	247.357	1893.464	h3	v:1	2ULX	
24	CXOJ133007.553+471106.00	1	NGC5194-X2	2.520	0.66	7.7	5/5	3.63e+39	3.55e-13	3.9^+2.2_-1.3	369.042	2192.340	h5	v:1	1ULX	
25	CXOJ124252.903+023749.66	1	NGC4636-X1	3.542	1.21	14.66	4/4	2.35e+39	7.26e-14	1.5^+0.29_-0.25	91.330	555.878	q1 h3		2ULX	
27	CXOJ122503.317+125315.47	1	NGC4374-X7	0.095	0.03	18.37	4/1	2.35e+39	5.80e-14	7.9^+2.7_-2.7	3.749	11.957	d1		1ULX	
27	CXOJ122503.480+125319.36	1	NGC4374-X6	0.091	0.03	18.37	4/4	2.35e+39	4.40e-14	1.8^+0.86_-0.7	19.108	212.391	d1 h3		1ULX	
27	CXOJ122503.761+125316.48	1	NGC4374-X5	0.028	0.01	18.37	4/1	2.39e+39	5.90e-14	2^+0.16_-0.16	20.808	230.344	h1		1ULX	
27	CXOJ122504.164+125311.98	1	NGC4374-X4	0.123	0.04	18.37	4/3	2.4e+39	4.83e-14	1.5^+0.27_-0.23	20.798	231.306	s1 h2		1ULX ULS	
27	CXOJ122511.918+125153.64	1	NGC4374-X2	2.418	0.75	18.37	3/3	1.71e+40	3.58e-13	1.3^+0.067_-0.064	294.840	1642.545	h3		1EULX	
27	CXOJ122515.086+125602.69	1	NGC4374-X3	3.938	1.40	18.37	4/4	4.66e+39	4.72e-14	8^+14_-3.3	81.903	411.551	d1 h3		2ULX	
28	CXOJ041931.205+022505.63	1	NGC1550-X2	1.844	1.87	49.5	4/2	9.14e+39	2.62e-14	2.9^+0.32_-0.32	16.422	103.582	h2		2ULX	
28	CXOJ041934.483+022623.57	1.08	NGC1550-X4	2.045	2.02	49.5	4/2	3.88e+39	9.91e-15	3.9^+0.59_-0.59	11.501	56.464	h2		2ULX	
28	CXOJ041939.137+022432.18	1	NGC1550-X6	0.215	0.22	49.5	4/1	2.97e+39	1.01e-14	1^+0.74_-0.43	4.062	39.336	q1		1ULX	
28	CXOJ041940.428+022627.89	1.1	NGC1550-X5	1.955	1.76	49.5	4/3	3.68e+39	1.07e-14	6.1^+2.4_-2.4	9.969	51.987	h3		2ULX	
28	CXOJ041941.184+022421.31	1	NGC1550-X3	0.756	0.77	49.5	4/2	4.06e+39	1.27e-14	8.8^+3.5_-3.5	7.233	45.198	d1 h1		1ULX	
29	CXOJ112015.758+133513.60	1	NGC3628-X1	0.192	0.11	10.6	2/2	1.05e+40	6.08e-13	1.8^+0.17_-0.16	441.103	3063.408	h2		1EULX	
30	CXOJ013651.074+154546.94	1	NGC628-X1	2.563	0.54	9.7	4/3	2.07e+39	8.67e-14	31.7^+1_-1	162.457	944.573	d1 h2	v:2	1ULX	
31	CXOJ141239.041-652333.00	1	PGC50779-X1	4.565	1.34	4.2	4/4	1.49e+40	4.36e-12	3.4^+0.34_-0.31	358.307	4939.292	h4	v:1	2EULX	
31	CXOJ141310.044-652044.77	1	PGC50779-X4	0.447	0.22	4.2	4/4	3.79e+39	1.56e-12	1.3^+0.22_-0.18	285.983	1772.723	h4		1ULX	
31	CXOJ141310.270-652018.02	1	PGC50779-X5	0.049	0.03	4.2	4/4	2.2e+39	7.04e-13	1.9^+0.33_-0.27	67.439	685.703	h4		1ULX	
31	CXOJ141312.245-652013.88	1	PGC50779-X3	0.264	0.12	4.2	4/4	1.33e+40	2.72e-12	9.7^+2_-1.5	292.935	3065.202	h4	v:2	1EULX	
35	CXOJ123945.204-113849.99	1	NGC4594-X2	3.773	1.15	9.77	2/2	4.19e+39	3.19e-13	1.3^+0.14_-0.13	179.687	669.325	q1 s1	v:2	2ULX ULS	
35	CXOJ123959.424-113723.34	1.01	NGC4594-X1	0.023	0.01	9.77	3/3	2.36e+40	1.66e-12	1.5^+0.044_-0.043	546.039	10846.875	h3		1EULX	
35	CXOJ124001.051-113724.28	1	NGC4594-X3	0.406	0.10	9.77	3/3	2.44e+39	1.47e-13	2^+0.18_-0.17	89.987	581.976	q1 s2		1ULX ULS	
36	CXOJ123030.511+414142.32	1	NGC4485-X1	0.382	0.35	9.3	3/3	6.14e+39	4.89e-13	1.4^+0.074_-0.07	284.477	1820.931	h3		1ULX	
36	CXOJ123030.511+414142.32	1	NGC4490-X1	3.517	1.61	7.8	3/3	4.32e+39	4.89e-13	1.4^+0.074_-0.07	284.477	1820.931	h3		2ULX	
36	CXOJ123030.758+413911.66	1	NGC4490-X4	1.375	0.44	7.8	3/3	2.8e+39	3.29e-13	1.4^+0.095_-0.088	238.596	1492.398	h3		1ULX	
36	CXOJ123032.203+413918.22	1	NGC4490-X2	1.246	0.42	7.8	3/3	3.42e+39	3.49e-13	2.1^+0.16_-0.14	255.557	1643.264	h3		1ULX	
36	CXOJ123036.266+413837.97	1	NGC4490-X5	0.262	0.12	7.8	3/3	2.54e+39	2.19e-13	3.9^+0.33_-0.3	228.049	1594.830	h3		1ULX	
