Table 6
Ultraluminous X-ray Sources in Nearby Galaxies

Group	CXOJ^a	Pos.^b	Source^c	alpha^d	r_25^e	Dis.^f	V/D^g	L_Xmax^h	F_Xavg^i	F/F^j	sigma_max^k	C_max^l	SQH^m	Var/K-S^n	Notes^o	
No.		Err.	Name	(")		(Mpc)		(erg s^-1)	(cgs)							
146	CXOJ133001.279-180018.58	1.07	NGC5170-X6	3.733	0.92	33.7	1/1	2.3e+39	1.69e-14	1	13.080	30.064	h1		1ULX	
148	CXOJ124825.870+083020.77	1.03	NGC4698-X2	1.228	0.79	16.8	1/1	6.57e+39	1.94e-13	1	183.885	711.517	h1		1ULX	
148	CXOJ124828.459+083112.76	1	NGC4698-X1	2.300	1.52	16.8	1/1	9.99e+39	2.95e-13	1	218.462	1068.606	h1		2ULX	
149	CXOJ032200.936-371917.08	1	NGC1316-X3	10.580	1.76	21.48	1/1	5.06e+39	9.14e-14	1	19.722	186.896	h1		2ULX	
149	CXOJ032225.730-370912.06	1	NGC1316-X6	4.545	1.07	21.48	1/1	2.93e+39	5.29e-14	1	33.864	177.707	s1		2ULX ULS	
149	CXOJ032241.126-371234.99	1	NGC1316-X5	0.150	0.03	21.48	1/1	3.44e+39	6.22e-14	1	21.779	230.183	h1		1ULX	
149	CXOJ032251.247-370949.10	1	NGC1316-X4	3.272	0.56	21.48	1/1	4.28e+39	7.73e-14	1	49.070	277.987	h1		1ULX	
150	CXOJ071629.947-291820.23	1	PGC20551-X2	1.103	1.42	24.0	1/1	2.46e+39	3.56e-14	1	31.295	76.650	h1		2ULX	
152	CXOJ091356.974+400904.21	1	NGC2782-X10	2.740	1.80	37.3	1/1	3.11e+39	1.86e-14	1	22.546	57.365	s1		2ULX ULS	
152	CXOJ091359.184+400535.63	1	NGC2782-X9	1.755	1.20	37.3	1/1	3.14e+39	1.88e-14	1	26.181	61.890	h1		2ULX	
152	CXOJ091404.032+400354.14	1	NGC2782-X6	2.977	1.73	37.3	1/1	4.27e+39	2.56e-14	1	28.673	66.051	h1		2ULX	
152	CXOJ091404.260+400738.06	1	NGC2782-X7	0.804	0.48	37.3	1/1	3.67e+39	2.20e-14	1	27.953	73.137	h1	v:1	1ULX	
152	CXOJ091405.112+400643.06	1	NGC2782-X4	0.166	0.10	37.3	1/1	5.79e+39	3.47e-14	1	21.604	114.328	h1		1ULX	
152	CXOJ091405.258+400642.26	1	NGC2782-X2	0.169	0.10	37.3	1/1	6.16e+39	3.69e-14	1	21.808	118.921	q1		1ULX	
152	CXOJ091405.335+400628.48	1	NGC2782-X8	0.393	0.23	37.3	1/1	3.29e+39	1.97e-14	1	16.730	62.323	h1		1ULX	
152	CXOJ091405.414+400651.98	1	NGC2782-X11	0.017	0.01	37.3	1/1	3.01e+39	1.80e-14	1	10.419	60.055	h1		1ULX	
152	CXOJ091408.376+400530.77	1	NGC2782-X3	1.461	0.89	37.3	1/1	5.98e+39	3.58e-14	1	45.691	118.230	h1		1ULX	
152	CXOJ091410.106+400619.76	1	NGC2782-X12	1.032	0.75	37.3	1/1	2.44e+39	1.46e-14	1	18.569	46.489	h1		1ULX	
152	CXOJ091416.872+400659.36	1	NGC2782-X5	2.177	1.70	37.3	1/1	4.29e+39	2.57e-14	1	31.184	82.990	h1		2ULX	
153	CXOJ122958.284+132526.11	1	NGC4473-X1	2.338	1.05	15.70	1/1	2.14e+39	7.22e-14	1	76.893	251.588	h1		2ULX	
154	CXOJ092335.102-231019.88	1	NGC2865-X2	1.123	1.17	37.84	1/1	2.87e+39	1.67e-14	1	21.907	56.287	q1		2ULX	
159	CXOJ100202.875+553858.74	1	NGC3079-X1	1.859	0.53	17.3	1/1	3.91e+39	1.09e-13	1	117.632	356.622	h1		1ULX	
160	CXOJ122757.209+130232.82	1	NGC4438-X2	3.454	1.27	16.8	1/1	1.13e+40	3.35e-13	1	87.621	293.243	h1		2EULX	
163	CXOJ200942.811-482157.49	1	NGC6868-X3	1.990	1.19	35.5	1/1	6.46e+39	4.27e-14	1	29.055	66.122	h1		2ULX	
163	CXOJ200943.106-482105.15	1	NGC6868-X4	2.435	1.57	35.5	1/1	5.2e+39	3.44e-14	1	23.106	53.966	h1		2ULX	
163	CXOJ200954.934-482400.97	1	NGC6868-X2	1.280	0.91	35.5	1/1	9.62e+39	6.36e-14	1	33.628	91.762	h1		1ULX	
163	CXOJ200957.262-481648.86	1.17	NGC6870-X3	2.243	1.91	35.5	1/1	2.89e+39	1.91e-14	1	11.870	27.103	h1		2ULX	
163	CXOJ201012.854-481659.09	1.47	NGC6870-X4	0.463	0.46	35.5	1/1	2.57e+39	1.70e-14	1	8.067	22.534	h1		1ULX	
163	CXOJ201024.358-481642.24	2.08	NGC6870-X2	2.365	1.85	35.5	1/1	5.1e+39	3.37e-14	1	11.243	40.826	h1		2ULX	
164	CXOJ200732.846-482318.74	1	NGC6861-X2	2.525	1.99	28.05	1/1	3.69e+39	3.91e-14	1	15.890	34.394	h1		2ULX	
165	CXOJ115044.539-284846.76	1	NGC3923-X3	3.867	1.56	22.91	1/1	2.7e+39	4.28e-14	1	30.135	80.911	h1		2ULX	
165	CXOJ115106.230-284649.84	1	NGC3923-X2	1.797	0.66	22.91	1/1	4.99e+39	7.93e-14	1	59.499	172.164	h1		1ULX	
166	CXOJ131521.941-162327.92	1	NGC5044-X2	0.587	0.40	31.19	1/1	3.42e+39	2.93e-14	1	6.573	67.846	h1		1ULX	
166	CXOJ131531.358-162511.57	1	NGC5044-X3	2.699	1.82	31.19	1/1	2.71e+39	2.32e-14	1	10.112	52.870	h1		2ULX	
170	CXOJ115357.792-231002.46	1	NGC3955-X1	0.143	0.16	20.6	1/1	5.45e+39	1.07e-13	1	67.706	209.372	h1		1ULX	
171	CXOJ223555.699+335738.77	1	NGC7318A-X1	0.406	0.95	88.4	1/1	2.44e+40	2.60e-14	1	21.337	62.100	h1		1EULX	
171	CXOJ223555.699+335738.77	1	NGC7318B-X2	0.662	1.02	77.0	1/1	1.85e+40	2.60e-14	1	21.337	62.100	h1		2EULX	
171	CXOJ223556.678+335756.16	1	NGC7318A-X2	0.054	0.13	88.4	1/1	1.91e+40	2.04e-14	1	14.321	48.915	h1		1EULX	
171	CXOJ223556.678+335756.16	1	NGC7318B-X3	0.379	0.63	77.0	1/1	1.45e+40	2.04e-14	1	14.321	48.915	h1		1EULX	
171	CXOJ223557.382+335818.80	1	NGC7318A-X6	0.352	0.82	88.4	1/1	3.38e+39	3.60e-15	1	3.543	8.662	d1		1ULX	
171	CXOJ223557.382+335818.80	1	NGC7318B-X9	0.416	0.53	77.0	1/1	2.56e+39	3.60e-15	1	3.543	8.662	d1		1ULX	
171	CXOJ223557.605+335859.84	1	NGC7318B-X5	1.047	1.13	77.0	1/1	8.11e+39	1.14e-14	1	8.994	26.123	h1		2ULX	
171	CXOJ223557.605+335859.84	1	NGC7319-X3	1.316	2.04	90.0	1/1	1.11e+40	1.14e-14	1	8.994	26.123	h1		2EULX	
171	CXOJ223559.465+335803.90	1	NGC7318A-X3	0.559	1.30	88.4	1/1	6.77e+39	7.22e-15	1	4.666	17.356	s1		2ULX ULS	
171	CXOJ223559.465+335803.90	1	NGC7318B-X6	0.224	0.35	77.0	1/1	5.14e+39	7.22e-15	1	4.666	17.356	s1		1ULX ULS	
171	CXOJ223559.465+335803.90	1	NGC7319-X5	0.994	1.49	90.0	1/1	7.02e+39	7.22e-15	1	4.666	17.356	s1		2ULX ULS	
171	CXOJ223559.669+335733.91	1	NGC7318A-X4	0.728	1.69	88.4	1/1	6.04e+39	6.44e-15	1	4.668	15.433	q1		2ULX	
171	CXOJ223559.669+335733.91	1	NGC7318B-X7	0.469	0.59	77.0	1/1	4.58e+39	6.44e-15	1	4.668	15.433	q1		1ULX	
171	CXOJ223559.669+335733.91	1	NGC7319-X6	1.292	1.77	90.0	1/1	6.26e+39	6.44e-15	1	4.668	15.433	q1		2ULX	
171	CXOJ223600.749+335801.56	1	NGC7318A-X5	0.820	1.91	88.4	1/1	3.98e+39	4.24e-15	1	3.932	10.205	h1		2ULX	
171	CXOJ223600.749+335801.56	1	NGC7318B-X8	0.470	0.78	77.0	1/1	3.02e+39	4.24e-15	1	3.932	10.205	h1		1ULX	
171	CXOJ223600.749+335801.56	1	NGC7319-X9	0.802	1.14	90.0	1/1	4.12e+39	4.24e-15	1	3.932	10.205	h1		2ULX	
171	CXOJ223603.660+335824.92	1	NGC7318B-X4	1.161	1.85	77.0	1/1	1.1e+40	1.55e-14	1	12.043	37.338	h1		2EULX	
171	CXOJ223603.660+335824.92	1	NGC7319-X2	0.152	0.18	90.0	1/1	1.51e+40	1.55e-14	1	12.043	37.338	h1		1EULX	
171	CXOJ223604.826+335901.36	1	NGC7319-X7	0.522	0.68	90.0	1/1	5.78e+39	5.95e-15	1	5.633	14.353	h1		1ULX	
171	CXOJ223607.051+335829.39	1	NGC7319-X4	0.719	1.14	90.0	1/1	8.08e+39	8.31e-15	1	8.297	19.821	h1		2ULX	
173	CXOJ104947.410+330026.32	1	NGC3396-X1	2.114	1.79	21.8	1/1	9.69e+39	1.70e-13	1	114.412	437.763	h1		2ULX	
173	CXOJ104949.428+325827.98	1	NGC3395-X3	0.384	0.53	27.4	1/1	2.23e+39	2.47e-14	1	18.312	63.626	h1		1ULX	
173	CXOJ104949.786+325838.50	1	NGC3395-X1	0.217	0.34	27.4	1/1	4.08e+39	4.53e-14	1	29.527	116.978	h1	v:1	1ULX	
173	CXOJ104949.786+325838.50	1	NGC3396-X2	1.510	1.77	21.8	1/1	2.58e+39	4.53e-14	1	29.527	116.978	h1	v:1	2ULX	
173	CXOJ104951.151+325833.82	1	NGC3395-X4	0.450	0.73	27.4	1/1	2.01e+39	2.23e-14	1	15.898	57.803	h1		1ULX	
173	CXOJ104952.181+325903.91	1	NGC3395-X2	0.602	0.64	27.4	1/1	3.88e+39	4.31e-14	1	28.300	93.450	h1		1ULX	
173	CXOJ104952.181+325903.91	1	NGC3396-X3	0.875	0.89	21.8	1/1	2.46e+39	4.31e-14	1	28.300	93.450	h1		1ULX	
174	CXOJ233941.340-121751.79	1.06	NGC7727-X3	3.058	1.72	23.3	1/1	2.38e+39	3.65e-14	1	26.062	77.808	h1		2ULX	
174	CXOJ233953.676-121731.20	1	NGC7727-X2	0.085	0.04	23.3	1/1	2.51e+39	3.85e-14	1	21.333	73.720	h1		1ULX	
174	CXOJ233955.836-121953.33	1	NGC7727-X1	2.342	1.02	23.3	1/1	4.47e+39	6.86e-14	1	58.837	156.022	h1		2ULX	
177	CXOJ112441.230+384357.07	1	NGC3665-X3	1.876	1.56	32.4	1/1	2.34e+39	1.86e-14	1	5.421	10.775	q1		2ULX	
177	CXOJ112443.116+384737.46	1	NGC3665-X2	1.841	1.58	32.4	1/1	2.38e+39	1.89e-14	1	10.150	20.675	h1		2ULX	
177	CXOJ112445.007+384623.27	1	NGC3665-X4	0.690	0.56	32.4	1/1	2.14e+39	1.70e-14	1	10.066	21.467	h1		1ULX	
179	CXOJ234420.083+095548.54	1	NGC7743-X2	0.453	0.31	20.70	1/1	2.6e+39	5.05e-14	1	32.018	83.195	h1		1ULX	
182	CXOJ134859.458+601457.98	1	NGC5322-X1	4.018	1.87	31.19	1/1	1.75e+40	1.50e-13	1	60.580	266.227	h1		2EULX	
185	CXOJ011955.272+032959.86	1	NGC474-X1	5.766	1.81	32.5	1/1	2.45e+40	1.93e-13	1	56.959	210.485	h1		2EULX	
185	CXOJ012008.741+032057.19	1.1	NGC474-X2	4.076	1.29	32.5	1/1	8.34e+39	6.58e-14	1	22.220	98.855	h1		2ULX	
190	CXOJ150527.511+020654.54	1	NGC5838-X1	0.921	0.71	28.5	1/1	1.24e+40	1.27e-13	1	75.092	217.170	h1	v:1	1EULX	
192	CXOJ033515.334-245404.61	1.02	NGC1371-X2	3.869	1.96	23.4	1/1	2.8e+39	4.26e-14	1	26.045	70.797	h1		2ULX	
193	CXOJ133013.294+464021.29	1	NGC5198-X1	0.321	0.36	39.0	1/1	4.71e+39	2.58e-14	1	18.436	44.718	h1		1ULX	
195	CXOJ124812.802-031956.86	1	NGC4691-X2	0.177	0.13	22.5	1/1	2.8e+39	4.61e-14	1	14.174	58.131	h1		1ULX	
195	CXOJ124816.164-031943.86	1	NGC4691-X3	0.712	0.51	22.5	1/1	2.04e+39	3.36e-14	1	19.399	42.350	h1		1ULX	
197	CXOJ024013.027+390051.84	1	NGC1023-X1	3.613	1.97	11.43	1/1	4e+39	2.55e-13	1	83.318	250.713	s1		2ULX ULS	
202	CXOJ110545.626+000016.45	1	NGC3521-X1	2.653	0.48	11.5	1/1	3.05e+39	1.92e-13	1	76.356	206.830	h1		1ULX	
205	CXOJ102723.995+282836.19	1	NGC3245-X1	2.259	1.76	20.89	1/1	6.55e+39	1.25e-13	1	62.154	144.974	h1		2ULX	
206	CXOJ140323.758-060442.13	1.03	NGC5426-X3	0.619	0.47	35.9	1/1	6.39e+39	4.13e-14	1	19.039	47.513	h1		1ULX	
206	CXOJ140323.858-060429.64	1	NGC5426-X1	0.433	0.37	35.9	1/1	2.81e+40	1.82e-13	1	69.550	209.690	h1		1EULX	
206	CXOJ140323.858-060429.64	1	NGC5427-X1	2.669	1.91	38.1	1/1	3.17e+40	1.82e-13	1	69.550	209.690	h1		2EULX	
206	CXOJ140324.526-060120.71	1	NGC5426-X6	2.824	2.01	35.9	1/1	2.47e+39	1.60e-14	1	9.687	18.854	h1		2ULX	
206	CXOJ140324.526-060120.71	1	NGC5427-X4	0.665	0.50	38.1	1/1	2.79e+39	1.60e-14	1	9.687	18.854	h1		1ULX	
206	CXOJ140324.653-060244.09	1	NGC5426-X2	1.434	1.03	35.9	1/1	6.88e+39	4.45e-14	1	24.277	52.407	h1		2ULX	
206	CXOJ140324.653-060244.09	1	NGC5427-X2	0.924	0.67	38.1	1/1	7.75e+39	4.45e-14	1	24.277	52.407	h1		1ULX	
206	CXOJ140326.302-060513.38	1.09	NGC5426-X5	1.105	0.91	35.9	1/1	4.31e+39	2.79e-14	1	12.085	32.027	h1		1ULX	
208	CXOJ233718.156+002552.21	2.88	PGC71926-X2	2.716	1.80	35.1	1/1	7.04e+39	4.76e-14	1	7.828	20.943	h1		2ULX	
208	CXOJ233718.650+002607.01	3.26	PGC71926-X4	2.872	1.93	35.1	1/1	2.37e+39	1.60e-14	1	2.826	7.274	d1		2ULX	
208	CXOJ233722.032+002239.58	1.25	PGC71926-X3	0.994	0.91	35.1	1/1	2.78e+39	1.88e-14	1	4.546	8.852	d1		1ULX	
208	CXOJ233726.086+002255.06	1.11	PGC71926-X1	0.853	0.57	35.1	1/1	7.97e+39	5.39e-14	1	15.636	32.576	h1		1ULX	
210	CXOJ112115.024+031557.31	1	NGC3640-X1	2.745	1.61	27.04	1/1	2.41e+39	2.75e-14	1	11.265	24.392	h1		2ULX	
212	CXOJ095821.878-265417.42	1	NGC3078-X2	1.404	1.15	35.16	1/1	4.73e+39	3.19e-14	1	8.888	17.755	h1		2ULX	
212	CXOJ095824.101-265523.66	1	NGC3078-X3	0.194	0.16	35.16	1/1	3.25e+39	2.19e-14	1	5.914	12.507	h1		1ULX	
212	CXOJ095831.030-265626.09	1	NGC3078-X4	1.694	1.54	35.16	1/1	2.27e+39	1.53e-14	1	4.555	8.858	d1		2ULX	
214	CXOJ143242.269-440939.13	1	NGC5643-X1	0.764	0.34	16.9	1/1	3.37e+40	9.82e-13	1	182.962	815.787	h1		1EULX	
218	CXOJ125253.777+111341.59	1	NGC4762-X1	0.627	0.57	16.8	1/1	5.86e+39	1.73e-13	1	45.555	114.462	h1		1ULX	
219	CXOJ024333.420+012136.83	1	NGC1073-X1	2.004	0.86	15.2	1/1	1.03e+40	3.70e-13	1	69.825	168.743	h1		1EULX	
219	CXOJ024339.547+012109.40	1	NGC1073-X2	1.459	0.60	15.2	1/1	3.11e+39	1.12e-13	1	23.242	50.386	h1		1ULX	
221	CXOJ141939.394+564137.82	1	NGC5585-X1	2.512	0.87	7.0	1/1	2.28e+39	3.87e-13	1	97.511	244.478	h1		1ULX	
222	CXOJ120921.036+135823.41	1	IC3019-X1	1.174	1.66	24.1	1/1	2.77e+39	3.98e-14	1	10.417	21.598	h1		2ULX	
224	CXOJ124713.946+101058.87	1	IC3773-X1	1.302	1.36	14.5	1/1	3.03e+39	1.20e-13	1	32.099	66.595	h1		2ULX	
225	CXOJ081929.002+704219.33	1.08	PGC23324-X1	1.972	0.63	4.5	1/1	1.21e+40	4.98e-12	1	375.530	2682.994	h1		1EULX	
226	CXOJ023529.093-092512.54	1.36	NGC988-X1	3.629	1.59	18.3	1/1	3.46e+39	8.60e-14	1	15.742	45.239	h1		2ULX	
228	CXOJ100633.962-295617.02	1	NGC3125-X1	0.165	0.44	11.5	1/1	1.16e+40	7.31e-13	1	114.320	378.413	h1		1EULX	
230	CXOJ100210.850+720732.52	1	NGC3066-X1	0.141	0.26	32.4	1/1	3.6e+39	2.86e-14	1	4.952	9.794	d1		1ULX	
230	CXOJ100216.034+720737.63	1	NGC3066-X2	0.508	1.02	32.4	1/1	2.95e+39	2.34e-14	1	4.123	7.908	d1		2ULX	
231	CXOJ124136.785+071856.12	1	NGC4612-X1	0.964	0.93	16.8	1/1	2.57e+39	7.60e-14	1	20.550	43.502	q1		1ULX	
232	CXOJ123728.591+093100.77	1	NGC4578-X1	2.362	1.50	18.54	1/1	3.32e+39	8.05e-14	1	10.543	20.803	h1		2ULX	
234	CXOJ122927.792+080630.53	1	NGC4472-X1	8.015	1.58	16.29	1/1	5.51e+39	1.73e-13	1	37.329	90.705	h1		2ULX	
234	CXOJ122934.766+080932.26	1.02	NGC4472-X2	10.002	1.96	16.29	1/1	3.76e+39	1.18e-13	1	29.351	64.330	h1		2ULX	
237	CXOJ023914.347+300854.71	1	NGC1012-X1	0.317	0.26	14.4	1/1	5.72e+39	2.30e-13	1	45.599	110.711	h1		1ULX	
239	CXOJ125210.543+111856.81	1	NGC4754-X1	1.759	1.38	16.83	1/1	2.02e+39	5.93e-14	1	14.418	30.505	h1		2ULX	
240	CXOJ124955.548+725208.33	1	NGC4750-X2	0.904	0.96	26.1	1/1	6.53e+39	7.99e-14	1	22.215	46.550	h1		1ULX	
240	CXOJ125015.883+725138.74	1	NGC4750-X3	1.120	1.14	26.1	1/1	2.21e+39	2.70e-14	1	7.737	15.693	h1		2ULX	
243	CXOJ131044.414+370235.02	1	NGC5005-X3	2.519	0.88	21.3	1/1	2.3e+39	4.23e-14	1	9.971	19.782	h1		1ULX	
243	CXOJ131113.560+370348.42	1.05	NGC5005-X2	3.478	1.42	21.3	1/1	2.56e+39	4.70e-14	1	10.202	21.519	h1		2ULX	
245	CXOJ124408.942+130701.81	1.43	NGC4654-X1	3.051	1.50	16.8	1/1	2.71e+39	8.00e-14	1	15.288	41.753	h1		2ULX	
246	CXOJ123410.939+023925.16	1	NGC4527-X1	0.572	0.19	13.5	1/1	6.41e+39	2.93e-13	1	64.063	161.440	h1		1ULX	
246	CXOJ123411.438+023928.84	1	NGC4527-X2	0.710	0.23	13.5	1/1	4.7e+39	2.15e-13	1	51.357	122.814	h1		1ULX	
249	CXOJ125512.298+000751.92	1	PGC44014-X1	0.834	0.54	14.2	1/1	2.03e+39	8.40e-14	1	21.542	45.512	h1		1ULX	
250	CXOJ143207.646+575531.15	1	NGC5678-X4	0.334	0.38	35.6	1/1	2.62e+39	1.72e-14	1	4.565	9.555	d1		1ULX	
250	CXOJ143208.215+575510.34	1	NGC5678-X1	0.449	0.51	35.6	1/1	6.87e+39	4.52e-14	1	10.832	22.575	h1		1ULX	
250	CXOJ143212.835+575708.50	1	NGC5678-X2	2.008	1.51	35.6	1/1	4.62e+39	3.04e-14	1	7.931	15.772	h1		2ULX	
250	CXOJ143216.116+575530.04	1	NGC5678-X3	1.439	1.76	35.6	1/1	2.72e+39	1.79e-14	1	5.014	9.828	h1		2ULX	
251	CXOJ105433.905+565943.62	1	NGC3445-X1	0.439	0.58	32.4	1/1	2.19e+39	1.74e-14	1	3.077	5.905	d1		1ULX	
253	CXOJ135315.132+402056.04	1.08	NGC5350-X3	1.506	0.98	37.8	1/1	2.11e+39	1.23e-14	1	2.032	3.902	d1		1ULX	
253	CXOJ135324.067+402209.01	1.41	NGC5350-X2	0.586	0.38	37.8	1/1	3.53e+39	2.06e-14	1	2.924	5.790	d1		1ULX	
254	CXOJ210333.938+295317.84	1	NGC7013-X1	0.512	0.26	14.2	1/1	6.1e+39	2.52e-13	1	44.742	101.160	h1		1ULX	
255	CXOJ110113.663+033615.55	1	NGC3495-X1	1.427	0.59	17.6	1/1	2.36e+39	6.36e-14	1	14.704	29.709	h1		1ULX	
256	CXOJ000852.978+154806.48	1.02	NGC14-X1	1.770	1.68	12.8	1/1	2.85e+39	1.45e-13	1	28.355	65.073	h1		2ULX	
260	CXOJ123608.902+191955.96	1	NGC4561-X2	0.504	0.68	12.3	1/1	2.36e+39	1.30e-13	1	25.212	53.492	h1		1ULX	
266	CXOJ131329.446+363517.45	1	NGC5033-X3	0.449	0.12	15.2	1/1	2.38e+39	8.57e-14	1	17.021	36.447	h1		1ULX	
266	CXOJ131329.650+363523.21	1	NGC5033-X2	0.413	0.13	15.2	1/1	3.08e+39	1.11e-13	1	21.589	47.329	h1		1ULX	
270	CXOJ125304.538-102905.82	1	NGC4760-X1	0.886	0.91	63.5	1/1	6.24e+40	1.29e-13	1	11.344	22.741	h1		1EULX	
273	CXOJ124517.273+270731.87	1	NGC4670-X2	0.071	0.11	11.0	1/1	2.11e+39	1.45e-13	1	18.409	41.215	h1		1ULX	
273	CXOJ124521.900+270755.24	1	NGC4670-X1	1.147	1.65	11.0	1/1	3.83e+39	2.64e-13	1	36.683	77.511	h1		2ULX	
275	CXOJ080148.106+504354.62	1	NGC2500-X1	0.952	0.72	10.1	1/1	5.09e+39	4.16e-13	1	49.618	108.349	h1		1ULX	
276	CXOJ094414.285-211431.96	1	NGC2986-X1	2.217	1.57	32.3	1/1	2.05e+40	1.64e-13	1	18.723	39.517	q1		2EULX	
276	CXOJ094427.209-211611.82	1	NGC2986-X2	2.591	1.69	32.3	1/1	6.07e+39	4.85e-14	1	6.036	11.829	h1		2ULX	
277	CXOJ102326.702+195406.77	1	NGC3226-X2	0.255	0.17	23.55	1/1	2.58e+39	3.87e-14	1	6.107	12.614	h1		1ULX	
279	CXOJ022721.516+333500.78	1	NGC925-X2	1.036	0.25	9.12	1/1	4.21e+39	4.22e-13	1	41.075	89.368	h1		1ULX	
279	CXOJ022727.528+333442.92	1	NGC925-X1	2.235	0.45	9.12	1/1	2.1e+40	2.10e-12	1	118.211	435.544	h1		1EULX	
283	CXOJ211900.838-483348.46	1	NGC7049-X2	0.092	0.04	29.92	1/1	4.61e+39	4.29e-14	1	3.206	6.618	d1		1ULX	
285	CXOJ101417.890+032855.42	1	NGC3169-X2	1.176	0.54	19.7	1/1	2.27e+39	4.88e-14	1	5.959	11.792	h1		1ULX	
286	CXOJ175552.762+182035.38	1	NGC6500-X4	1.488	1.63	40.0	1/1	4.05e+39	2.11e-14	1	2.521	4.877	d1		2ULX	
286	CXOJ175556.441+181910.63	1	NGC6500-X3	1.395	1.36	40.0	1/1	4.24e+39	2.21e-14	1	2.499	4.859	d1		2ULX	
286	CXOJ175601.570+182022.60	1	NGC6500-X2	0.613	0.67	40.0	1/1	5.8e+39	3.02e-14	1	3.627	6.924	d1		1ULX	
287	CXOJ123527.770+121339.00	1	NGC4550-X1	0.848	1.62	15.85	1/1	5.91e+39	1.96e-13	1	23.307	51.307	h1		2ULX	
288	CXOJ122811.690+283837.25	1	NGC4448-X1	1.617	1.91	9.7	1/1	3.2e+39	2.83e-13	1	29.950	68.125	h1		2ULX	
288	CXOJ122826.806+283958.57	1.73	PGC41014-X1	0.558	1.39	59.4	1/1	1.23e+40	2.91e-14	1	3.232	6.638	d1		2EULX	
292	CXOJ081436.982+490326.10	1	NGC2541-X1	0.620	0.38	11.27	1/1	3.6e+39	2.36e-13	1	23.613	49.544	h1		1ULX	
295	CXOJ105220.429+363603.74	1	NGC3432-X1	2.431	1.57	12.7	1/1	3.58e+39	1.85e-13	1	20.150	43.417	h1		2ULX	
295	CXOJ105233.878+363615.88	1	NGC3432-X2	1.011	1.28	12.7	1/1	3.5e+39	1.81e-13	1	19.505	42.375	h1		2ULX	
301	CXOJ121509.199+330954.58	1	NGC4203-X1	2.136	1.29	15.14	1/1	4.4e+40	1.60e-12	1	126.173	352.531	h1		2EULX	
302	CXOJ112020.894+125846.02	1	NGC3627-X1	1.605	0.67	8.75	1/1	5.69e+39	6.19e-13	1	52.780	134.361	h1		1ULX	
304	CXOJ112607.334+433406.31	1	NGC3675-X1	0.998	0.35	16.1	1/1	2.12e+39	6.81e-14	1	6.456	14.999	h1		1ULX	
306	CXOJ121033.758+302357.95	1	NGC4150-X2	0.145	0.13	13.74	1/1	4.96e+39	2.19e-13	1	23.559	53.170	h1		1ULX	
306	CXOJ121034.764+302358.31	1	NGC4150-X1	0.301	0.29	13.74	1/1	9.9e+39	4.37e-13	1	41.760	106.357	h1		1ULX	
311	CXOJ140459.736+533808.95	1	NGC5474-X1	1.671	0.70	6.0	1/1	4.17e+39	9.66e-13	1	69.906	185.992	h1		1ULX	
313	CXOJ111858.543+130530.91	1	NGC3623-X1	0.792	0.54	12.3	1/1	2.27e+39	1.25e-13	1	15.011	29.782	h1		1ULX	
320	CXOJ124251.211+131439.95	1	NGC4639-X2	0.900	0.96	20.8	1/1	2.04e+39	3.93e-14	1	4.079	7.881	d1		1ULX	

Notes.
a Source names composed from their positions following CXO naming conventions.
b Source positional uncertainties in arcsec computed from the scheme of Kim et al. (2004).
c Galactic source names numbered sequentially by its maximum detection significance.
d Galactic source nuclear separation in arcminutes.
e Galactic source nuclear separation in unit of the elliptical radius.
f Distance in Mpc for the source.
g Numbers the source was observed/detected.
h Maximum luminosity in erg s-1 computed from detections.
i Average flux in erg s-1 cm-2 computed from detections.
j Fmax/Fmin ratio and its errors as a variability indicator. Fmax is the maximum 0.3-8 keV flux from all detections, and Fmin is the minimum flux from all detections and upper limits. The ratio is unity without errors if Fmax and Fmin are the same.
k The maximum detection significance.
l The maximum photon counts from detections.
m Statistics for supersoft/quasi-soft/hard/dim phases. For example, s2 means supersoft in two observations, q3 means quasi-soft in three observations, h4 means hard in four observations, and d1 means too dim (below 10 counts) in one observations.
n Statistics for variability within single observations by the K-S criterion. For example, v/3 means the source was variable by the K-S criterion (i.e., PK-S < 0.01, more than 10 counts, and the background fraction is <10%) in three observations.
o Source identification. ULX: ultraluminous X-ray source, ULS: ultraluminous supersoft source.
